Date,Location,medium,Samples,Sampling_Notes,Water_temp,Plating_notes,Temp_incubation,P1_qty_sample,Image_24h_fluo_plate_one,P1_fluo_halo_colonies,P1_fluo_other,Plate_one_24h_image,P1_24h_big_blue,P1_24h_med_blue,P1_24h_green,P1_24h_turq,P1_24h_pink,P1_24h_other,Comments_p1_24h,Plate_one_48h_image,P1_48h_big_blue,P1_48h_med_blue,P1_48h_green,P1_48h_turq,P1_48h_pink,P1_48h_other,Comments_p1_48h,P2_qty_sample,Image_24h_fluo_plate_two,P2_fluo_halo_colonies,P2_fluo_other,Plate_two_24h_image,P2_24h_big_blue,P2_24h_med_blue,P2_24h_green,P2_24h_turq,P2_24h_pink,P2_24h_other,Comments_p2_24h,Plate_two_48h_image,P2_48h_big_blue,P2_48h_med_blue,P2_48h_green,P2_48h_turq,P2_48h_pink,P2_48h_other,Comments_p2_48h,P3_qty_sample,Image_24h_fluo_plate_three,p3_fluo_halo_colonies,p3_fluo_other,Plate_three_24h_image,P3_24h_big_blue,P3_24h_med_blue,P3_24h_green,P3_24h_turq,P3_24h_pink,P3_24h_other,Comments_p3_24h,Plate_three_48h_image,P3_48h_big_blue,P3_48h_med_blue,P3_48h_green,P3_48h_turq,P3_48h_pink,P3_48h_other,Comments_p3_48h,latitude,longitude,Location_Image
12.06.17,Echandens,easy_gel,1,No comments,18,No comments,37,0.5,VenogesUV-17_2_3.JPG,6,0,EasyGelplusVenoges0.5ml-17_3_54.JPG,7,23,0,0,4,7,No comments,venoges48h0.5ml12june17-17_4_58.JPG,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.513765,6.542022,12june17Venoges-16_0_12.jpg
12.06.17,SVT,easy_gel,3,No comments,19,Medium tanken out of refrigerator just before plating.  Did not gel fully in all cases.,37,4,Sauvetage1UV-15_36_47.JPG,0,0,Sauvetage1-15_37_11.JPG,0,0,0,0,0,0,No comments,Sauvetage1_48h-15_37_27.JPG,0,0,0,0,0,0,No comments,4,Sauvetage2UV-15_37_59.JPG,0,0,Sauvetage2-15_38_11.JPG,0,0,0,0,0,0,No comments,Sauvetage2_48h-15_38_30.JPG,0,0,0,0,0,0,No comments,4,Sauvetage3UV-15_38_46.JPG,0,0,Sauvetage3-15_39_19.JPG,0,0,0,0,0,0,No comments,sauvetage3_12june17_48h-15_39_44.JPG,0,0,0,0,0,0,No comments,46.438233,6.9055052,20170612_111355-15_43_5.jpg
12.06.17,VNX,easy_gel,3,No comments,19,No comments,37,4,none,0,0,Vernex1-15_51_54.JPG,0,0,0,0,0,0,No comments,vernex1_48h-15_52_13.JPG,0,0,0,0,0,0,No comments,4,none,0,0,Vernex2-15_52_32.JPG,0,0,0,0,0,0,No comments,Vernex2_48h-15_53_1.JPG,0,0,0,0,0,0,No comments,4,none,0,0,Vernex3-15_53_22.JPG,0,0,0,0,0,0,No comments,vernex3_48h-15_53_39.JPG,0,0,0,0,0,0,No comments,46.440576,6.900416,20170619_131633-15_56_48.jpg
12.06.17,MRD,easy_gel,3,No comments,20,No comments,37,4,MRD1UV-16_16_53.JPG,0,0,MRD1-16_17_10.JPG,0,0,0,0,0,0,No comments,MRD1_48h-16_17_52.JPG,0,0,0,0,0,0,No comments,4,MRD2UV-16_18_38.JPG,0,0,MRD2-16_18_47.JPG,0,0,0,0,0,0,No comments,MRD2_48h-16_19_3.JPG,0,0,0,0,0,0,No comments,4,MRD3againforgooeyBigBlueUV-16_21_59.JPG,0,0,MRD3-16_22_12.JPG,0,0,0,0,0,0,No comments,MRD3_48h-16_22_24.JPG,0,0,0,0,0,0,No comments,46.431736,6.908947,20170619_132445-16_15_17.jpg
12.06.17,Nernier,easy_gel,1,No comments,23,No comments,37,4,NernierUV-16_51_46.JPG,0,0,Nernier4ml-16_52_8.JPG,1,2,0,0,0,0,Counted by roger on 21june2017,nernier48h4ml12june17-16_52_19.JPG,1,75,0,0,3,0,Counted by Roger on 21 June 2017,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.365675,6.302898,none
12.06.17,Hackuarium tap,easy_gel,1,No comments,18,No comments,37,4,EasyGelTapWaterUV-17_13_14.JPG,0,0,EasyGelplusTapWater4ml-17_18_0.JPG,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.532241,6.591259,none
19.06.17,Hackuarium tap,easy_gel,1,No comments,18,No comments,37,4,1497969819294855796087-16_44_5.jpg,0,0,14979698763491445851597-16_46_10.jpg,0,0,0,0,0,0,No comments,image-16_23_47.jpg,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.531919,6.591673,none
19.06.17,VNX,easy_gel,3,No comments,19,No comments,37,4,1497966113252905980324-15_42_31.jpg,0,0,none,0,0,0,0,0,0,No comments,image-16_14_23.jpg,0,6,0,0,9,0,"there are colonies RA would have called big blue, but there were no fluor halos... hmmmm",4,14979661650221929641868-15_43_45.jpg,0,0,14979632066052090659206-14_53_58.jpg,0,0,0,0,0,0,No comments,image-16_15_28.jpg,0,5,0,2,5,17,No comments,4,14979662375481026584255-15_44_44.jpg,0,0,14979635382431986854915-14_59_30.jpg,0,0,0,0,0,0,No comments,image-16_16_30.jpg,0,4,0,1,6,3,No comments,46.440576,6.900416,20170619_131645-16_33_47.jpg
19.06.17,MRD,easy_gel,3,No comments,20,"All plates gelled well, except tap water",37,4,14979658500121199826746-15_38_4.jpg,1,0,1497964033513658452576-15_7_52.jpg,0,0,0,0,0,0,No comments,image-15_37_49.jpg,1,6,0,0,5,0,No comments,4,1497965901107622787563-15_39_6.jpg,0,0,14979640820651235373273-15_10_14.jpg,0,0,0,0,0,0,No comments,image-15_36_18.jpg,0,12,0,0,7,17,No comments,4,14979659662962083483441-15_40_9.jpg,0,0,1497964224554697541561-15_11_24.jpg,0,0,0,0,0,0,No comments,image-15_37_12.jpg,0,4,0,1,7,50,No comments,46.431736,6.908947,20170619_132445-16_47_16.jpg
19.06.17,Echandens,easy_gel,1,No comments,18,No comments,37,0.5,149796955108525027363-16_42_21.jpg,15,0,1497970129112208131121-16_49_8.jpg,0,0,0,0,0,0,No comments,image-14_55_9.jpg,15,18,0,1,17,0,No comments,4,none,0,0,none,0,0,0,0,0,0,there is no plate two for the postiive control plate really...  I put the 48h NA plate in the plate 2 slot,image-16_20_45.jpg,0,0,0,0,0,0,plate 2 48h here is NA media (with gram+ growth),4,none,0,0,none,0,0,0,0,0,0,No comments,none,0,0,0,0,0,0,No comments,46.535602,6.552227,none
