#### EXPORT DONNEES METEO POUR "MONTREUX" (LAT/LON: 46.4312213/6.9106799)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2016-07-01,21,17,9,13,21,17,1.4,82,9.875,1020,10.625,24,15,18,113,113,113,0,4,15.9,météo favorable
2016-07-02,15,11,12,14,13,11,9.8,96,7.625,1021,61.125,15,13,11,116,122,143,0,4,13.7,météo correcte
2016-07-03,17,12,8,9,17,15,0.2,82,6.5,1022,51.625,17,12,13,143,113,116,0,3,15.8,météo correcte
2016-07-04,20,17,6,13,20,17,0.1,86,6.75,1022,25.875,20,15,17,113,113,113,0,3,15.8,météo favorable
2016-07-05,19,15,9,14,19,15,6,89,8.375,1020,22.625,19,14,16,113,200,113,0,3,15.8,météo correcte
2016-07-06,19,15,9,13,19,15,0.3,90,6.75,1021,49.125,19,14,16,116,113,116,0,3,15.8,météo favorable
2016-07-07,21,17,7,13,21,17,0,78,7.75,1021,18.875,24,15,19,113,113,113,0,3,15.8,météo favorable
2016-07-08,22,17,10,15,22,17,2.5,83,9.75,1022,10.875,25,15,18,113,113,113,0,5,15.8,météo favorable
2016-07-09,22,19,9,16,22,19,0.7,87,7.875,1023,17.75,25,17,19,113,113,116,0,4,15.8,météo favorable
2016-07-10,24,20,9,17,24,20,1.7,84,10,1019,5.75,25,17,20,113,113,113,0,5,15.7,météo idéale
2016-07-11,22,18,12,17,21,18,7.1,88,9.5,1016,21.25,25,17,18,113,200,113,0,5,15.7,météo correcte
2016-07-12,15,12,9,14,14,12,13.4,96,5.875,1016,79.875,15,14,11,143,122,143,0,3,11.8,météo défavorable
2016-07-13,10,7,13,9,10,7,5.5,91,5.75,1019,61.25,10,9,5,143,200,116,0,2,15.5,météo défavorable
2016-07-14,8,7,9,6,8,7,6.9,92,8.25,1023,57.875,8,6,5,119,200,116,0,2,15.7,météo très défavorable
2016-07-15,13,10,16,6,13,10,0.1,79,6.75,1025,31.5,13,6,8,113,113,116,0,2,15.7,météo correcte
2016-07-16,16,13,15,8,16,13,0,74,10,1026,5.25,16,9,12,113,113,113,0,3,15.7,météo correcte
2016-07-17,21,17,9,12,21,17,0,81,9.5,1023,3.75,21,15,18,113,113,113,0,4,15.6,météo favorable
2016-07-18,19,16,9,13,19,16,2.7,77,8.625,1019,50.75,20,12,16,116,116,113,0,4,14.6,météo favorable
2016-07-19,20,16,12,14,20,16,3,82,9.25,1017,47.75,21,13,16,113,116,116,0,5,14.5,météo favorable
2016-07-20,20,15,11,14,20,15,4.2,86,8.25,1016,54.75,21,13,15,116,113,116,0,4,14.4,météo favorable
2016-07-21,19,15,9,13,19,15,3.7,83,7.875,1017,57.125,20,12,15,116,116,116,0,4,11.5,météo correcte
2016-07-22,19,15,11,13,19,15,4.7,83,8.125,1017,64.5,19,12,15,116,176,176,0,4,10.5,météo correcte
2016-07-23,18,15,11,13,18,15,3.8,84,8,1017,73.5,18,12,15,116,176,176,0,3,9.4,météo défavorable
2016-07-24,18,14,9,13,18,14,4,83,8,1016,53.75,19,12,15,116,116,116,0,4,11.5,météo favorable
2016-07-25,18,14,10,12,18,14,2.6,80,8.5,1016,50.875,19,11,15,116,113,116,0,4,11.4,météo favorable
2016-07-26,19,15,9,13,19,15,1.7,81,9.25,1016,55,19,12,16,116,116,116,0,4,11.4,météo correcte
2016-07-27,20,17,10,13,20,17,2,81,8.625,1016,54.75,21,14,17,116,113,116,0,4,11.4,météo favorable
2016-07-28,19,15,8,13,19,15,0.7,90,7.75,1020,29,19,14,16,113,113,116,0,3,14.5,météo favorable
2016-07-29,21,17,8,14,21,17,0.6,84,7.625,1019,32.875,24,15,18,116,113,113,0,4,14.5,météo favorable
2016-07-30,23,17,15,15,23,17,2.9,75,9.875,1017,8.375,25,13,18,113,113,113,0,5,14.5,météo favorable
2016-07-31,17,14,10,14,17,14,11.3,94,8.375,1018,54.25,17,14,14,119,200,143,0,4,11.4,météo correcte
