,Rain,Date
4,0.0,2017-06-05
5,0.57,2017-06-06
6,0.0,2017-06-07
7,0.0,2017-06-08
8,0.0,2017-06-09
9,0.0,2017-06-10
10,0.0,2017-06-11
11,0.0,2017-06-12
12,0.0,2017-06-13
13,0.48,2017-06-14
14,0.01,2017-06-15
15,0.0,2017-06-16
16,0.0,2017-06-17
17,0.0,2017-06-18
18,0.0,2017-06-19
19,0.0,2017-06-20
20,0.0,2017-06-21
21,0.0,2017-06-22
22,0.0,2017-06-23
23,0.03,2017-06-24
24,0.0,2017-06-25
25,0.01,2017-06-26
26,0.47,2017-06-27
27,0.13,2017-06-28
28,0.08,2017-06-29
29,0.0,2017-06-30
30,0.02,2017-07-01
31,0.05,2017-07-02
32,0.0,2017-07-03
33,0.0,2017-07-04
34,0.0,2017-07-05
35,0.0,2017-07-06
36,0.0,2017-07-07
37,0.01,2017-07-08
38,0.35,2017-07-09
39,0.06,2017-07-10
40,0.0,2017-07-11
41,0.0,2017-07-12
42,0.0,2017-07-13
43,0.0,2017-07-14
44,0.0,2017-07-15
45,0.0,2017-07-16
46,0.0,2017-07-17
47,0.0,2017-07-18
48,0.0,2017-07-19
49,0.01,2017-07-20
50,0.52,2017-07-21
51,0.07,2017-07-22
52,0.0,2017-07-23
53,0.17,2017-07-24
54,0.14,2017-07-25
55,0.0,2017-07-26
56,0.02,2017-07-27
57,0.0,2017-07-28
58,0.0,2017-07-29
59,0.17,2017-07-30
60,0.02,2017-07-31
