,Date,Location,medium,Samples,Sampling_Notes,Water_temp,Plating_notes,Temp_incubation,P1_qty_sample,P1_fluo_halo_colonies,Plate_one_24h_image,P1_24h_big_blue,P1_24h_med_blue,P1_24h_green,P1_24h_turq,P1_24h_pink,P1_24h_other,Comments_p1_24h,P2_qty_sample,P2_fluo_halo_colonies,Plate_two_24h_image,P2_24h_big_blue,P2_24h_med_blue,P2_24h_green,P2_24h_turq,P2_24h_pink,P2_24h_other,Comments_p2_24h,P3_qty_sample,P3_fluo_halo_colonies,Plate_three_24h_image,P3_24h_big_blue,P3_24h_med_blue,P3_24h_green,P3_24h_turq,P3_24h_pink,P3_24h_other,Comments_p3_24h
0,2017-06-12,Echandens,easy_gel,1,No comments,18,No comments,37,0.5,6,EasyGelplusVenoges0.5ml-17_3_54.JPG,7.0,23.0,0.0,0,4.0,7.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
1,2017-06-12,SVT,easy_gel,3,No comments,19,Medium tanken out of refrigerator just before plating.  Did not gel fully in all cases.,37,4.0,0,Sauvetage1-15_37_11.JPG,0.0,0.0,0.0,0,0.0,0.0,No comments,4,0.0,Sauvetage2-15_38_11.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,Sauvetage3-15_39_19.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments
2,2017-06-12,VNX,easy_gel,3,No comments,19,No comments,37,4.0,0,Vernex1-15_51_54.JPG,0.0,0.0,0.0,0,0.0,0.0,No comments,4,0.0,Vernex2-15_52_32.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,Vernex3-15_53_22.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments
3,2017-06-12,MRD,easy_gel,3,No comments,20,No comments,37,4.0,0,MRD1-16_17_10.JPG,0.0,0.0,0.0,0,0.0,0.0,No comments,4,0.0,MRD2-16_18_47.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,MRD3-16_22_12.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments
4,2017-06-12,Nernier,easy_gel,1,No comments,23,No comments,37,4.0,0,Nernier4ml-16_52_8.JPG,1.0,2.0,0.0,0,0.0,0.0,Counted by roger on 21june2017,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
5,2017-06-12,Hackuarium tap,easy_gel,1,No comments,18,No comments,37,4.0,0,EasyGelplusTapWater4ml-17_18_0.JPG,0.0,0.0,0.0,0,0.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
6,2017-06-19,Hackuarium tap,easy_gel,1,No comments,18,No comments,37,4.0,0,14979698763491445851597-16_46_10.jpg,0.0,0.0,0.0,0,0.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
7,2017-06-19,VNX,easy_gel,3,No comments,19,No comments,37,4.0,0,none,0.0,0.0,0.0,0,0.0,0.0,No comments,4,0.0,14979632066052090659206-14_53_58.jpg,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,14979635382431986854915-14_59_30.jpg,0.0,0.0,0.0,0.0,0.0,0.0,No comments
8,2017-06-19,MRD,easy_gel,3,No comments,20,"All plates gelled well, except tap water",37,4.0,1,1497964033513658452576-15_7_52.jpg,0.0,0.0,0.0,0,0.0,0.0,No comments,4,0.0,14979640820651235373273-15_10_14.jpg,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,1497964224554697541561-15_11_24.jpg,0.0,0.0,0.0,0.0,0.0,0.0,No comments
9,2017-06-19,Echandens,easy_gel,1,No comments,18,No comments,37,0.5,15,1497970129112208131121-16_49_8.jpg,0.0,0.0,0.0,0,0.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,there is no plate two for the postiive control plate really...  I put the 48h NA plate in the plate 2 slot,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
10,2017-06-19,SVT,easy_gel,3,No comments,23,No comments,37,4.0,0,1497961937685321128918-14_33_19.jpg,0.0,0.0,0.0,0,0.0,0.0,No comments,4,0.0,1497962360070409900649-14_39_50.jpg,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,1497962403714801123156-14_41_4.jpg,0.0,0.0,0.0,0.0,0.0,0.0,No comments
11,2017-06-26,VNX,easy_gel,3,No comments,23,No comments,37,4.0,3,VNX1-16_44_56.JPG,2.0,0.0,0.0,0,0.0,0.0,No comments,4,1.0,VNX2-16_46_39.JPG,1.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,1.0,VNX3-16_47_2.JPG,1.0,0.0,0.0,0.0,1.0,0.0,No comments
13,2017-06-26,SVT,easy_gel,3,No comments,24,No comments,37,4.0,0,SVT1-16_27_26.JPG,0.0,0.0,0.0,0,0.0,0.0,No comments,4,0.0,SVT2-16_28_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,SVT3-16_28_27.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments
14,2017-06-26,MRD,easy_gel,3,No comments,23,No comments,37,4.0,0,MRD1-16_37_32.JPG,3.0,5.0,0.0,0,3.0,,No comments,4,2.0,MRD2-16_38_18.JPG,2.0,6.0,0.0,4.0,7.0,0.0,No comments,4.0,2.0,MRD3-16_38_54.JPG,1.0,2.0,0.0,0.0,2.0,0.0,No comments
15,2017-06-26,Echandens,easy_gel,1,No comments,18, Plate one is easygel ,37,0.5,25,Cplus-16_50_59.JPG,28.0,35.0,0.0,0,15.0,0.0,No comments,none,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
16,2017-06-26,Hackuarium tap,easy_gel,1,No comments,18,Plate one is Gel ,37,4.0,0,Cminus-16_53_39.JPG,0.0,0.0,0.0,0,0.0,0.0,No comments,none,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,"Plate two is: Non selective ""UNIL Kitchen""",4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
17,2017-07-03,Echandens,easy_gel,1,No comments,18,No comments,37,4.0,7,VenogesEasyGel-18_55_22.JPG,7.0,9.0,0.0,2,7.0,0.0,No comments,4,0.0,VenogesNA-18_55_56.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
18,2017-07-03,MRD,easy_gel,3,No comments,22,No comments,37,4.0,10,MRD1-18_39_25.JPG,10.0,5.0,0.0,0,1.0,0.0,No comments,4,10.0,MRD2-18_40_0.JPG,10.0,9.0,0.0,0.0,3.0,0.0,No comments,4.0,11.0,MRD3-18_40_40.JPG,11.0,3.0,0.0,0.0,0.0,0.0,No comments
19,2017-07-03,SVT,easy_gel,3,No comments,22,No comments,37,4.0,1,SVT1-18_42_10.JPG,1.0,6.0,0.0,0,0.0,0.0,No comments,4,7.0,SVT2-18_42_56.JPG,7.0,4.0,0.0,0.0,2.0,0.0,No comments,4.0,3.0,SVT3-18_43_20.JPG,3.0,0.0,0.0,0.0,0.0,0.0,No comments
20,2017-07-03,VNX,easy_gel,3,No comments,21,No comments,37,4.0,13,vernex1-17_23_59.JPG,13.0,5.0,0.0,0,1.0,0.0,No comments,4,8.0,vernex2-18_44_24.JPG,8.0,2.0,0.0,0.0,0.0,0.0,No comments,4.0,11.0,vernex3-18_44_42.JPG,11.0,5.0,0.0,0.0,3.0,0.0,No comments
21,2017-07-03,Hackuarium tap,easy_gel,1,No comments,18,No comments,37,4.0,0,tapwater24h-18_50_4.JPG,0.0,0.0,0.0,0,0.0,0.0,No comments,4,0.0,tapwaterNA-18_51_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
22,2017-07-03,Hackuarium toilet,easy_gel,1,No comments,18,No comments,37,4.0,8,ToiletwaterEasy-18_58_53.JPG,8.0,0.0,0.0,0,0.0,0.0,No comments,4,0.0,ToiletNA-18_59_25.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
23,2017-07-10,VNX,easy_gel,3,No comments,24,We chose to plate only 1ml because the plates of the week before were very concentrated and hard to count,37,1.0,0,VNX1-15_27_49.JPG,0.0,8.0,0.0,0,17.0,0.0,No comments,1,0.0,VNX2-15_28_59.JPG,0.0,0.0,0.0,0.0,14.0,0.0,No comments,1.0,0.0,VNX3-15_30_33.JPG,0.0,10.0,0.0,0.0,23.0,,No comments
24,2017-07-10,MRD,easy_gel,3,No comments,24,We chose to plate only 1ml because the plates of the week before were very concentrated and hard to count,37,1.0,3,MRD1-15_40_28.JPG,3.0,20.0,0.0,0,15.0,0.0,No comments,1,2.0,MRD2-15_41_42.JPG,2.0,15.0,0.0,0.0,13.0,0.0,No comments,1.0,2.0,MRD3-15_43_23.JPG,2.0,7.0,0.0,0.0,15.0,0.0,No comments
25,2017-07-10,Echandens,easy_gel,1,No comments,18,No comments,37,0.5,7,Venoge-15_32_26.JPG,7.0,10.0,0.0,0,20.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
26,2017-07-10,SVT,easy_gel,3,No comments,24,We chose to plate only 1ml because the plates of the week before were very concentrated and hard to count,37,1.0,0,SVT1-15_14_27.JPG,0.0,0.0,0.0,0,1.0,0.0,No comments,1,0.0,SVT2-15_16_26.JPG,0.0,2.0,0.0,0.0,1.0,0.0,No comments,1.0,0.0,SVT3-15_18_0.JPG,0.0,2.0,0.0,0.0,0.0,0.0,No comments
27,2017-07-10,Hackuarium tap,easy_gel,1,No comments,18,No comments,37,4.0,0,Cnegatif-15_35_13.JPG,0.0,0.0,0.0,0,0.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
28,2017-07-17,SVT,micrology_card,1,No comments,24,No comments,37,1.0,0,SVT1 carte-21_31_8.jpg,0.0,9.0,0.0,0,19.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
29,2017-07-17,VNX,micrology_card,1,No comments,24,No comments,37,1.0,0,VNX1 carte-21_26_51.jpg,0.0,23.0,0.0,0,20.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
30,2017-07-17,Hackuarium tap,easy_gel,1,No comments,18,No comments,37,4.0,0,TAP-21_2_5.jpg,0.0,0.0,0.0,0,0.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
31,2017-07-17,MRD,micrology_card,1,No comments,25,No comments,37,1.0,0,MRD1 carte-21_21_54.jpg,0.0,22.0,0.0,0,10.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
32,2017-07-17,VNX,easy_gel,3,No comments,24,No comments,37,4.0,0,VNX1-19_50_50.jpg,0.0,0.0,0.0,0,0.0,13.0,No comments,4,0.0,VNX2-19_54_13.jpg,0.0,0.0,0.0,0.0,0.0,12.0,No comments,4.0,0.0,VNX3-19_57_28.jpg,0.0,1.0,0.0,0.0,0.0,10.0,No comments
33,2017-07-17,SVT,easy_gel,3,No comments,24,No comments,37,4.0,0,SVT1-19_26_6.jpg,0.0,0.0,0.0,0,0.0,6.0,No comments,4,0.0,SVT2-19_29_59.jpg,0.0,0.0,0.0,0.0,0.0,5.0,No comments,4.0,1.0,SVT3-19_33_35.jpg,1.0,1.0,0.0,0.0,0.0,4.0,No comments
34,2017-07-17,MRD,easy_gel,3,No comments,25,No comments,37,4.0,0,MRD1-18_37_26.jpg,0.0,1.0,0.0,0,1.0,31.0,No comments,2,0.0,MRD2-18_39_12.jpg,0.0,0.0,0.0,0.0,0.0,0.0,No comments,2.0,1.0,MRD3-18_40_10.jpg,,0.0,0.0,0.0,0.0,0.0,"TooManyCellsToCount   , maybe due to the fact that it was the sample in a bottle"
35,2017-07-17,Echandens,easy_gel,1,No comments,18,No comments,37,0.5,0,Venoge-20_57_14.jpg,6.0,14.0,3.0,0,7.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
36,2017-07-24,Echandens,unil_kitchen,1,No comments,18,No comments,37,0.5,0,Venoges-13_54_34.JPG,0.0,0.0,0.0,0,0.0,0.0,TMTC,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
37,2017-07-24,SVT,micrology_card,2,No comments,19,No comments,37,1.0,0,SVT1-22_44_0.JPG,0.0,10.0,0.0,0,2.0,0.0,No comments,1,0.0,none,0.0,9.0,0.0,0.0,2.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
39,2017-07-24,VNX,micrology_card,1,No comments,21,No comments,37,1.0,0,VNX1-13_59_0.JPG,0.0,12.0,0.0,0,5.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
